Countries,Average GDP per Capita,Connections
Chile + Panama,16280,10
El Salvador + Panama,9855,10
Angola + South Africa,4270,10
Jamaica + Trinidad and Tobago,10850,10
Egypt + Russia,7535,9
Russia + Thailand,9735,9
Japan + Russia,25905,9
Russia + South Korea,22140,9
Hungary + Russia,14495,9
Georgia + Russia,8010,9
Kazakhstan + Russia,10270,9
Moldova + Russia,8040,9
Italy + Peru,20105,9
Peru + Spain,18440,9
Costa Rica + Peru,9430,9
Burkina Faso + Cote d'Ivoire,1685,9
Algeria + Burkina Faso,2355,9
Ghana + Senegal,1815,9
Ghana + Nigeria,2180,9
Mali + Senegal,1175,9
France + Mali,20675,9
Mali + Morocco,2060,9
Benin + Senegal,1160,9
Italy + Senegal,17390,9
Senegal + Spain,15725,9
Senegal + United States,33095,9
Senegal + United Arab Emirates,22010,9
Chile + Colombia,11720,9
Italy + Tunisia,18360,9
Bulgaria + Italy,21520,9
Angola + Italy,18010,9
Brazil + Switzerland,45285,9
Saudi Arabia + Switzerland,52270,9
Switzerland + Thailand,44930,9
Japan + Switzerland,61100,9
South Korea + Switzerland,57335,9
Switzerland + Ukraine,42820,9
Malta + Switzerland,56470,9
Cameroon + France,21030,9
Chile + France,28760,9
France + Puerto Rico,42810,9
France + Malta,35705,9
Australia + United Kingdom,49950,9
Dominican Republic + United Kingdom,26565,9
Jamaica + United Kingdom,25075,9
Trinidad and Tobago + United Kingdom,30775,9
Malta + United Kingdom,37980,9
Japan + Spain,35110,9
Jordan + Spain,17190,9
Bulgaria + Spain,19855,9
Angola + Spain,16345,9
Canada + Cyprus,34600,9
Algeria + Cyprus,13830,9
Cyprus + Poland,19665,9
Cyprus + Ukraine,13665,9
Egypt + Finland,26695,9
Belgium + Egypt,24785,9
Georgia + Sweden,28455,9
Moldova + Sweden,28485,9
Malta + Sweden,41720,9
Finland + Singapore,66940,9
Finland + Qatar,290130,9
Bulgaria + Finland,29810,9
Norway + Thailand,41185,9
Hong Kong + Norway,61380,9
Nigeria + United States,33460,9
Saudi Arabia + United States,43650,9
South Africa + United States,35295,9
Bulgaria + United States,37225,9
Barbados + United States,41620,9
Angola + United States,33715,9
India + Philippines,2730,9
Hungary + United Arab Emirates,29985,9
Brunei + United Arab Emirates,36170,9
Brazil + Portugal,15815,9
Brazil + Chile,12830,9
Brazil + Denmark,34810,9
Belgium + Nigeria,24135,9
Canada + Saudi Arabia,34045,9
Canada + Singapore,64750,9
Bahamas + Canada,38285,9
Antigua and Barbuda + Canada,32295,9
Canada + Israel,44505,9
Canada + Costa Rica,28755,9
Canada + Jordan,24955,9
Saudi Arabia + Thailand,15220,9
Bangladesh + Saudi Arabia,12325,9
Algeria + Saudi Arabia,13275,9
China + Kenya,5900,9
Burma + Thailand,4635,9
Thailand + Vietnam,5275,9
Denmark + Thailand,34455,9
Australia + Singapore,69435,9
Burma + Singapore,42680,9
Bangladesh + Singapore,43030,9
Australia + Netherlands,54030,9
China + Czech Republic,16610,9
Brunei + China,19905,9
China + Georgia,7235,9
Belgium + Hong Kong,47180,9
Greece + Hong Kong,34320,9
Hong Kong + Ireland,62865,9
Brunei + Hong Kong,39020,9
Bangladesh + Japan,21155,9
